channel,flutter_version,dart_sdk_version,release_date,flutter_release_commit_hash,engine_version_commit_hash,snapshot_hash
beta,3.14.0-0.2.pre,3.2.0 (build 3.2.0-42.2.beta),2023-09-01T01:24:16.876842Z,123453dc41ef48e717939dd3c012db6a23138895,b93c76ab94207adc619e02b061f864e967983c22,b63f41229f2d3db31322b62c3d39978a
stable,3.13.2,3.1.0,2023-08-30T17:53:24.556079Z,ff5b5b5fa6f35b717667719ddfdb1521d8bdd05a,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
stable,3.13.1,3.1.0,2023-08-23T18:00:11.904991Z,e1e47221e86272429674bec4f1bd36acc4fc7b77,b20183e04096094bcc37d9cde2a4b96f5cc684cf,7dbbeeb8ef7b91338640dca3927636de
beta,3.14.0-0.1.pre,3.2.0 (build 3.2.0-42.1.beta),2023-08-21T19:10:08.006641Z,120d54d33a22d18785c0110becdeb350c24a835d,f613b678245991e74839f201ecd3f22b75465813,b63f41229f2d3db31322b62c3d39978a
stable,3.13.0,3.1.0,2023-08-16T17:31:30.644124Z,efbf63d9c66b9f6ec30e9ad4611189aa80003d31,1ac611c64eadbd93c5f5aba5494b8fc3b35ee952,7dbbeeb8ef7b91338640dca3927636de
beta,3.13.0-0.4.pre,3.1.0 (build 3.1.0-262.3.beta),2023-08-14T17:20:25.562729Z,7e07cd41cb78c1bb1199c458859c87ff818e1748,73d89ca7c5a20cbddde69ab1a6dff8fe3ecbfd70,7dbbeeb8ef7b91338640dca3927636de
beta,3.13.0-0.3.pre,3.1.0 (build 3.1.0-262.3.beta),2023-08-07T18:39:52.650032Z,e90f5d4561661f992387ca6187ff16504873334a,c1f977f72b68da673ec493ab5df0beacacc7a88b,7dbbeeb8ef7b91338640dca3927636de
beta,3.13.0-0.2.pre,3.1.0 (build 3.1.0-262.2.beta),2023-07-19T17:45:29.997067Z,ac71592bc605996f9376ec5b7607db52b64cabd0,e14db68a86199a9fa5fd9628d8e290aafc0f6917,7dbbeeb8ef7b91338640dca3927636de
stable,3.10.6,3.0.6,2023-07-13T01:11:07.927907Z,f468f3366c26a5092eb964a230ce7892fda8f2f8,cdbeda788a293fa29665dc3fa3d6e63bd221cb0d,90b56a561f70cd55e972cb49b79b3d8b
beta,3.13.0-0.1.pre,3.1.0 (build 3.1.0-262.1.beta),2023-07-12T17:09:30.280430Z,1f6bdb6fa288a8163813571573e517a47bc86264,ae470c12d363f9b7c6ace259891b783b0fab64dc,7dbbeeb8ef7b91338640dca3927636de
beta,3.12.0-1.1.pre,3.1.0 (build 3.1.0-163.1.beta),2023-06-21T17:04:02.182828Z,e2e0aa70372e5dd3408910eda69ab48f13cc06b4,45712dd2f120092ca3c78d0098b12f0079fd966d,16ad76edd19b537bf6ea64fdd31977a7
stable,3.10.5,3.0.5,2023-06-14T15:52:10.971872Z,796c8ef79279f9c774545b3771238c3098dbefab,45f6e009110df4f34ec2cf99f63cf73b71b7a420,90b56a561f70cd55e972cb49b79b3d8b
beta,3.12.0,3.1.0 (build 3.1.0-163.1.beta),2023-06-08T21:34:06.237391Z,8fcb74dbc16b9edb3d3f14c11c627d9e8f24fb1f,b84ad1ad30cca8d303b4bcb2bbd77573e4d66122,16ad76edd19b537bf6ea64fdd31977a7
stable,3.10.4,3.0.3,2023-06-07T22:42:28.059729Z,682aa387cfe4fbd71ccd5418b2c2a075729a1c66,2a3401c9bbb5a9a9aec74d4f735d18a9dd3ebf2d,90b56a561f70cd55e972cb49b79b3d8b
stable,3.10.3,3.0.3,2023-06-02T17:05:14.887909Z,f92f44110e87bad5ff168335c36da6f6053036e6,2a3401c9bbb5a9a9aec74d4f735d18a9dd3ebf2d,90b56a561f70cd55e972cb49b79b3d8b
beta,3.11.0-0.1.pre,3.1.0 (build 3.1.0-63.1.beta),2023-05-24T20:08:04.268337Z,350d2c3a6ca4c3c39787e1c18a8ddf0aca8d2ae2,7eca5cd1c5cca97929a7c8ea4381441447a36f26,36b0375d284ee2af0d0fffc6e6e48fde
stable,3.10.2,3.0.2,2023-05-24T18:49:57.763032Z,9cd3d0d9ff05768afa249e036acc66e8abe93bff,90fa3ae28fe6ddaee1af2c120f01e50201c1401b,aa64af18e7d086041ac127cc4bc50c5e
stable,3.10.1,3.0.1,2023-05-17T18:48:27.668845Z,d3d8effc686d73e0114d71abdcccef63fa1f25d2,b4fb11214dd2dda6ce012dd98ea498e9e8b91262,aa64af18e7d086041ac127cc4bc50c5e
beta,3.11.0-0.0.pre,3.1.0 (build 3.1.0-63.1.beta),2023-05-10T16:57:18.258781Z,74e4b092e5212ebf8292dde2a48d3da960c0920b,992cdb6cd409a30ebf91a33841575a1c7fd1bb1d,36b0375d284ee2af0d0fffc6e6e48fde
stable,3.10.0,3.0.0,2023-05-10T16:27:18.662225Z,84a1e904f44f9b0e9c4510138010edcc653163f8,d44b5a94c976fbb65815374f61ab5392a220b084,aa64af18e7d086041ac127cc4bc50c5e
beta,3.10.0-1.5.pre,3.0.0 (build 3.0.0-417.4.beta),2023-05-03T18:30:39.812428Z,b1c77b7ed32346fe829c0ca97bd85d19290d54ae,50e509c2bd0d7788feb675e38321cc5711c8d2d6,aa64af18e7d086041ac127cc4bc50c5e
beta,3.10.0-1.4.pre,3.0.0 (build 3.0.0-417.3.beta),2023-04-26T18:25:45.448801Z,a14a4eac6132065fcbd853a2ff376e6911cdb2ea,f7ac42e8a273548af89f8b005179bf2b4b1bb2f1,aa64af18e7d086041ac127cc4bc50c5e
